,일자,대륙,국가,확진자,사망자,사망률
2492,2020-11-21,아프리카,나미비아,13662,141,1.0320597277
2493,2020-11-21,아프리카,케냐,74145,1330,1.7937824533
2494,2020-11-21,아프리카,기니,12713,75,0.589947298
2495,2020-11-21,아프리카,가나,50631,323,0.6379490825
2496,2020-11-21,아프리카,가봉,9116,59,0.6472136902
2497,2020-11-21,아프리카,에티오피아,104427,1607,1.5388740459
2498,2020-11-21,아프리카,수단,15299,1179,7.7063860383
2499,2020-11-21,아프리카,코트디부아르,21083,129,0.6118673813
2500,2020-11-21,아프리카,DR콩고,12007,323,2.6900974431
2501,2020-11-21,아프리카,부르키나파소,2686,68,2.5316455696
2502,2020-11-21,아프리카,토고,2771,63,2.2735474557
2503,2020-11-21,아프리카,남아프리카공화국,759658,20671,2.7210929128
2504,2020-11-21,아프리카,카메룬,23528,435,1.8488609316
2505,2020-11-21,아프리카,세네갈,15835,329,2.0776760341
2506,2020-11-21,아프리카,나이지리아,65839,1165,1.7694679445
2507,2020-11-21,오세아니아,바누아투,1,0,0.0
2508,2020-11-21,오세아니아,솔로몬제도,16,0,0.0
2509,2020-11-21,오세아니아,마셜제도,4,0,0.0
2510,2020-11-21,오세아니아,파푸아뉴기니,604,7,1.1589403973
2511,2020-11-21,오세아니아,피지,35,2,5.7142857142
2512,2020-11-21,오세아니아,뉴질랜드,1657,25,1.5087507543
2513,2020-11-21,오세아니아,호주,27784,907,3.2644687589
2514,2020-11-21,유럽,러시아,2039926,35311,1.7309941635
2515,2020-11-21,유럽,코소보,31979,864,2.7017730385
2516,2020-11-21,유럽,몬테네그로,29677,420,1.4152373892
2517,2020-11-21,유럽,터키,430170,11943,2.7763442359
2518,2020-11-21,유럽,사이프러스,7979,41,0.5138488532
2519,2020-11-21,유럽,알바니아,30623,657,2.1454462332
2520,2020-11-21,유럽,몰도바,93961,2091,2.2253913857
2521,2020-11-21,유럽,몰타,8560,104,1.214953271
2522,2020-11-21,유럽,불가리아,114435,2649,2.3148512255
2523,2020-11-21,유럽,슬로바키아,91578,579,0.6322479198
2524,2020-11-21,유럽,세르비아,104097,1110,1.0663131502
2525,2020-11-21,유럽,리히텐슈타인,1072,8,0.7462686567
2526,2020-11-21,유럽,슬로베니아,61034,609,0.9978045024
2527,2020-11-21,유럽,보스니아 헤르체고비나,76757,2153,2.8049558997
2528,2020-11-21,유럽,헝가리,165901,3568,2.1506802249
2529,2020-11-21,유럽,우크라이나,598085,10598,1.7719889313
2530,2020-11-21,유럽,폴란드,796798,12088,1.517072081
2531,2020-11-21,유럽,안도라,6066,76,1.2528849324
2532,2020-11-21,유럽,라트비아,11722,141,1.202866405
2533,2020-11-21,유럽,포르투갈,243009,3701,1.5229888604
2534,2020-11-21,유럽,체코,481755,6874,1.4268663532
2535,2020-11-21,유럽,아일랜드,69473,2010,2.8932103119
2536,2020-11-21,유럽,아르메니아,123646,1900,1.5366449379
2537,2020-11-21,유럽,룩셈부르크,28573,248,0.8679522626
2538,2020-11-21,유럽,모나코,573,3,0.5235602094
2539,2020-11-21,유럽,아이슬란드,5231,25,0.4779200917
2540,2020-11-21,유럽,아제르바이잔,83994,1053,1.2536609757
2541,2020-11-21,유럽,산마리노,1373,43,3.1318281136
2542,2020-11-21,유럽,리투아니아,40492,341,0.8421416576
2543,2020-11-21,유럽,벨라루스,119390,1074,0.8995728285
2544,2020-11-21,유럽,네덜란드,466697,8759,1.876806579
2545,2020-11-21,유럽,루마니아,393851,9596,2.4364543951
2546,2020-11-21,유럽,노르웨이,30768,305,0.9912896515
2547,2020-11-21,유럽,북마케도니아,51213,1423,2.7785913732
2548,2020-11-21,유럽,그리스,85261,1347,1.5798547987
2549,2020-11-21,유럽,조지아,96860,894,0.9229816229
2550,2020-11-21,유럽,에스토니아,8715,86,0.9868043602
2551,2020-11-21,유럽,덴마크,67105,773,1.1519260859
2552,2020-11-21,유럽,벨기에,550168,15196,2.7620654054
2553,2020-11-21,유럽,스위스,284560,3456,1.2145066066
2554,2020-11-21,유럽,스웨덴,201055,6340,3.1533659943
2555,2020-11-21,유럽,핀란드,20286,374,1.8436360051
2556,2020-11-21,유럽,크로아티아,93879,1200,1.2782411401
2557,2020-11-21,유럽,오스트리아,228058,2018,0.8848626226
2558,2020-11-21,유럽,스페인,1541574,42291,2.7433648984
2559,2020-11-21,유럽,영국,1453260,53775,3.7003013913
2560,2020-11-21,유럽,프랑스,2048857,46780,2.2832242562
2561,2020-11-21,유럽,독일,879564,13630,1.5496314082
2562,2020-11-21,유럽,이탈리아,1308528,47870,3.658309184
2563,2020-11-21,아메리카,수리남,5282,116,2.1961378265
2564,2020-11-21,아메리카,가이아나,4914,142,2.8897028897
2565,2020-11-21,아메리카,베네수엘라,98350,860,0.874428063
2566,2020-11-21,아메리카,파라과이,73639,1624,2.2053531416
2567,2020-11-21,아메리카,우루과이,4296,68,1.5828677839
2568,2020-11-21,아메리카,볼리비아,143569,8875,6.1816966058
2569,2020-11-21,아메리카,아르헨티나,1339337,36347,2.7138054126
2570,2020-11-21,아메리카,콜롬비아,1218003,34563,2.8376777397
2571,2020-11-21,아메리카,칠레,536012,14955,2.7900494765
2572,2020-11-21,아메리카,에콰도르,183246,13073,7.1341257107
2573,2020-11-21,아메리카,페루,941951,35402,3.7583695967
2574,2020-11-21,아메리카,브라질,5945849,167455,2.8163345554
2575,2020-11-21,아메리카,세인트키츠네비스,19,0,0.0
2576,2020-11-21,아메리카,도미니카연방,72,0,0.0
2577,2020-11-21,아메리카,세인트빈센트그레나딘,83,0,0.0
2578,2020-11-21,아메리카,세인트루시아,203,2,0.9852216748
2579,2020-11-21,아메리카,그레나다,36,0,0.0
2580,2020-11-21,아메리카,앤티가바부다,139,4,2.8776978417
2581,2020-11-21,아메리카,바베이도스,253,7,2.7667984189
2582,2020-11-21,아메리카,바하마,7323,163,2.225863717
2583,2020-11-21,아메리카,아이티,9208,232,2.5195482189
2584,2020-11-21,아메리카,트리니다드토바고,6180,113,1.8284789644
2585,2020-11-21,아메리카,자메이카,10088,235,2.3295003965
2586,2020-11-21,아메리카,쿠바,7725,131,1.6957928802
2587,2020-11-21,아메리카,도미니카공화국,136183,2301,1.6896382074
2588,2020-11-21,아메리카,니카라구아,4583,159,3.4693432249
2589,2020-11-21,아메리카,벨리즈,4958,100,2.0169423154
2590,2020-11-21,아메리카,엘살바도르,36965,1061,2.8702826998
2591,2020-11-21,아메리카,코스타리카,127012,1588,1.2502755645
2592,2020-11-21,아메리카,과테말라,117066,4050,3.4595868996
2593,2020-11-21,아메리카,온두라스,103488,2839,2.7433132343
2594,2020-11-21,아메리카,파나마,149833,2907,1.9401600448
2595,2020-11-21,아메리카,멕시코,1015071,99528,9.8050284167
2596,2020-11-21,아메리카,캐나다,311109,11186,3.5955243982
2597,2020-11-21,아메리카,미국,11413788,248571,2.1778133604
2598,2020-11-21,중동,예멘,2072,605,29.198841698
2599,2020-11-21,중동,알제리,71652,2224,3.1038910288
2600,2020-11-21,중동,아랍에미리트,155254,544,0.3503935486
2601,2020-11-21,중동,이스라엘,325776,2737,0.8401478316
2602,2020-11-21,중동,튀니지,83772,2541,3.0332330611
2603,2020-11-21,중동,시리아,6991,363,5.1923902159
2604,2020-11-21,중동,사우디아라비아,354527,5729,1.6159559074
2605,2020-11-21,중동,카타르,136649,235,0.1719734502
2606,2020-11-21,중동,오만,121360,1365,1.1247528015
2607,2020-11-21,중동,모로코,311554,5090,1.6337456749
2608,2020-11-21,중동,리비아,76006,1062,1.3972581112
2609,2020-11-21,중동,레바논,111946,868,0.7753738409
2610,2020-11-21,중동,쿠웨이트,138822,859,0.6187780034
2611,2020-11-21,중동,요르단,169396,2053,1.2119530567
2612,2020-11-21,중동,이라크,529226,11834,2.2360957322
2613,2020-11-21,중동,이집트,111955,6508,5.8130498861
2614,2020-11-21,중동,바레인,85317,337,0.3949974799
2615,2020-11-21,중동,이란,815117,43417,5.3264746042
2616,2020-11-21,아시아,타지키스탄,11772,86,0.7305470608
2617,2020-11-21,아시아,라오스,25,0,0.0
2618,2020-11-21,아시아,미얀마,74882,1676,2.2381880825
2619,2020-11-21,아시아,동티모르,30,0,0.0
2620,2020-11-21,아시아,키르기스스탄,68702,1223,1.7801519606
2621,2020-11-21,아시아,우즈베키스탄,71071,602,0.8470402836
2622,2020-11-21,아시아,카자흐스탄,164736,2365,1.4356303418
2623,2020-11-21,아시아,몽골,518,0,0.0
2624,2020-11-21,아시아,브루나이,148,3,2.027027027
2625,2020-11-21,아시아,방글라데시,441159,6305,1.4291899292
2626,2020-11-21,아시아,몰디브,12452,45,0.3613877288
2627,2020-11-21,아시아,부탄,378,0,0.0
2628,2020-11-21,아시아,인도네시아,483518,15600,3.2263535173
2629,2020-11-21,아시아,파키스탄,365927,7248,1.980722931
2630,2020-11-21,아시아,아프가니스탄,44228,1650,3.7306683548
2631,2020-11-21,아시아,스리랑카,18841,73,0.3874528952
2632,2020-11-21,아시아,네팔,215020,1276,0.593433169
2633,2020-11-21,아시아,캄보디아,304,0,0.0
2634,2020-11-21,아시아,필리핀,413430,7998,1.9345475654
2635,2020-11-21,아시아,인도,9004365,132162,1.4677548055
2636,2020-11-21,아시아,베트남,1304,35,2.6840490797
2637,2020-11-21,아시아,말레이시아,51680,326,0.6308049535
2638,2020-11-21,아시아,태국,3892,60,1.5416238437
2639,2020-11-21,아시아,싱가포르,58139,28,0.048160443
2640,2020-11-21,아시아,일본,125267,1943,1.5510868784
2641,2020-11-21,아시아,마카오,46,0,0.0
2642,2020-11-21,아시아,대만,611,7,1.1456628477
2643,2020-11-21,아시아,홍콩,5517,108,1.9575856443
2644,2020-11-21,아시아,중국,86414,4634,5.362556993
2645,2020-11-21,아시아,한국,30403,503,1.6544419958
2646,2020-11-21,기타,기타지역 영토,194632,2371,1.2181963911
2647,2020-11-21,아프리카,레소토,2058,44,2.1379980563
2648,2020-11-21,아프리카,코모로,592,7,1.1824324324
2649,2020-11-21,아프리카,상투메프린시페,974,16,1.6427104722
2650,2020-11-21,아프리카,남수단,3016,59,1.9562334217
2651,2020-11-21,아프리카,말라위,6002,185,3.082305898
2652,2020-11-21,아프리카,시에라리온,2397,74,3.0871923237
2653,2020-11-21,아프리카,브룬디,649,1,0.1540832049
2654,2020-11-21,아프리카,보츠와나,9594,31,0.3231186158
2655,2020-11-21,아프리카,말리,4093,142,3.4693378939
2656,2020-11-21,아프리카,기니비사우,2421,43,1.7761255679
2657,2020-11-21,아프리카,모잠비크,14723,120,0.8150512803
2658,2020-11-21,아프리카,우간다,17148,158,0.9213902495
2659,2020-11-21,아프리카,에리트레아,527,0,0.0
2660,2020-11-21,아프리카,앙골라,14134,333,2.3560209424
2661,2020-11-21,아프리카,마다가스카르,17310,250,1.4442518775
2662,2020-11-21,아프리카,소말리아,4382,108,2.4646280237
2663,2020-11-21,아프리카,짐바브웨,9046,265,2.9294715896
2664,2020-11-21,아프리카,카보베르데,10082,104,1.0315413608
2665,2020-11-21,아프리카,니제르,1335,70,5.2434456928
2666,2020-11-21,아프리카,차드,1620,101,6.2345679012
2667,2020-11-21,아프리카,모리셔스,491,10,2.0366598778
2668,2020-11-21,아프리카,잠비아,17350,356,2.0518731988
2669,2020-11-21,아프리카,감비아,3706,122,3.2919589854
2670,2020-11-21,아프리카,지부티,5658,61,1.0781194768
2671,2020-11-21,아프리카,탄자니아,509,21,4.1257367387
2672,2020-11-21,아프리카,라이베리아,1539,82,5.3281351526
2673,2020-11-21,아프리카,베냉,2916,43,1.4746227709
2674,2020-11-21,아프리카,세이쉘,161,0,0.0
2675,2020-11-21,아프리카,르완다,5543,46,0.8298755186
2676,2020-11-21,아프리카,모리타니아,7952,165,2.0749496981
2677,2020-11-21,아프리카,에스와티니,6156,119,1.9330734243
2678,2020-11-21,아프리카,적도기니,5121,85,1.659832064
2679,2020-11-21,아프리카,콩고,5632,93,1.651278409
2680,2020-11-21,아프리카,중앙아프리카공화국,4911,63,1.2828344532
2681,2020-11-21,아프리카,나미비아,13662,141,1.0320597277
2682,2020-11-21,아프리카,케냐,74145,1330,1.7937824533
2683,2020-11-21,아프리카,기니,12713,75,0.589947298
2684,2020-11-21,아프리카,가나,50631,323,0.6379490825
2685,2020-11-21,아프리카,가봉,9116,59,0.6472136902
2686,2020-11-21,아프리카,에티오피아,104427,1607,1.5388740459
2687,2020-11-21,아프리카,수단,15299,1179,7.7063860383
2688,2020-11-21,아프리카,코트디부아르,21083,129,0.6118673813
2689,2020-11-21,아프리카,DR콩고,12007,323,2.6900974431
2690,2020-11-21,아프리카,부르키나파소,2686,68,2.5316455696
2691,2020-11-21,아프리카,토고,2771,63,2.2735474557
2692,2020-11-21,아프리카,남아프리카공화국,759658,20671,2.7210929128
2693,2020-11-21,아프리카,카메룬,23528,435,1.8488609316
2694,2020-11-21,아프리카,세네갈,15835,329,2.0776760341
2695,2020-11-21,아프리카,나이지리아,65839,1165,1.7694679445
2696,2020-11-21,오세아니아,바누아투,1,0,0.0
2697,2020-11-21,오세아니아,솔로몬제도,16,0,0.0
2698,2020-11-21,오세아니아,마셜제도,4,0,0.0
2699,2020-11-21,오세아니아,파푸아뉴기니,604,7,1.1589403973
2700,2020-11-21,오세아니아,피지,35,2,5.7142857142
2701,2020-11-21,오세아니아,뉴질랜드,1657,25,1.5087507543
2702,2020-11-21,오세아니아,호주,27784,907,3.2644687589
2703,2020-11-21,유럽,러시아,2039926,35311,1.7309941635
2704,2020-11-21,유럽,코소보,31979,864,2.7017730385
2705,2020-11-21,유럽,몬테네그로,29677,420,1.4152373892
2706,2020-11-21,유럽,터키,430170,11943,2.7763442359
2707,2020-11-21,유럽,사이프러스,7979,41,0.5138488532
2708,2020-11-21,유럽,알바니아,30623,657,2.1454462332
2709,2020-11-21,유럽,몰도바,93961,2091,2.2253913857
2710,2020-11-21,유럽,몰타,8560,104,1.214953271
2711,2020-11-21,유럽,불가리아,114435,2649,2.3148512255
2712,2020-11-21,유럽,슬로바키아,91578,579,0.6322479198
2713,2020-11-21,유럽,세르비아,104097,1110,1.0663131502
2714,2020-11-21,유럽,리히텐슈타인,1072,8,0.7462686567
2715,2020-11-21,유럽,슬로베니아,61034,609,0.9978045024
2716,2020-11-21,유럽,보스니아 헤르체고비나,76757,2153,2.8049558997
2717,2020-11-21,유럽,헝가리,165901,3568,2.1506802249
2718,2020-11-21,유럽,우크라이나,598085,10598,1.7719889313
2719,2020-11-21,유럽,폴란드,796798,12088,1.517072081
2720,2020-11-21,유럽,안도라,6066,76,1.2528849324
2721,2020-11-21,유럽,라트비아,11722,141,1.202866405
2722,2020-11-21,유럽,포르투갈,243009,3701,1.5229888604
2723,2020-11-21,유럽,체코,481755,6874,1.4268663532
2724,2020-11-21,유럽,아일랜드,69473,2010,2.8932103119
2725,2020-11-21,유럽,아르메니아,123646,1900,1.5366449379
2726,2020-11-21,유럽,룩셈부르크,28573,248,0.8679522626
2727,2020-11-21,유럽,모나코,573,3,0.5235602094
2728,2020-11-21,유럽,아이슬란드,5231,25,0.4779200917
2729,2020-11-21,유럽,아제르바이잔,83994,1053,1.2536609757
2730,2020-11-21,유럽,산마리노,1373,43,3.1318281136
2731,2020-11-21,유럽,리투아니아,40492,341,0.8421416576
2732,2020-11-21,유럽,벨라루스,119390,1074,0.8995728285
2733,2020-11-21,유럽,네덜란드,466697,8759,1.876806579
2734,2020-11-21,유럽,루마니아,393851,9596,2.4364543951
2735,2020-11-21,유럽,노르웨이,30768,305,0.9912896515
2736,2020-11-21,유럽,북마케도니아,51213,1423,2.7785913732
2737,2020-11-21,유럽,그리스,85261,1347,1.5798547987
2738,2020-11-21,유럽,조지아,96860,894,0.9229816229
2739,2020-11-21,유럽,에스토니아,8715,86,0.9868043602
2740,2020-11-21,유럽,덴마크,67105,773,1.1519260859
2741,2020-11-21,유럽,벨기에,550168,15196,2.7620654054
2742,2020-11-21,유럽,스위스,284560,3456,1.2145066066
2743,2020-11-21,유럽,스웨덴,201055,6340,3.1533659943
2744,2020-11-21,유럽,핀란드,20286,374,1.8436360051
2745,2020-11-21,유럽,크로아티아,93879,1200,1.2782411401
2746,2020-11-21,유럽,오스트리아,228058,2018,0.8848626226
2747,2020-11-21,유럽,스페인,1541574,42291,2.7433648984
2748,2020-11-21,유럽,영국,1453260,53775,3.7003013913
2749,2020-11-21,유럽,프랑스,2048857,46780,2.2832242562
2750,2020-11-21,유럽,독일,879564,13630,1.5496314082
2751,2020-11-21,유럽,이탈리아,1308528,47870,3.658309184
2752,2020-11-21,아메리카,수리남,5282,116,2.1961378265
2753,2020-11-21,아메리카,가이아나,4914,142,2.8897028897
2754,2020-11-21,아메리카,베네수엘라,98350,860,0.874428063
2755,2020-11-21,아메리카,파라과이,73639,1624,2.2053531416
2756,2020-11-21,아메리카,우루과이,4296,68,1.5828677839
2757,2020-11-21,아메리카,볼리비아,143569,8875,6.1816966058
2758,2020-11-21,아메리카,아르헨티나,1339337,36347,2.7138054126
2759,2020-11-21,아메리카,콜롬비아,1218003,34563,2.8376777397
2760,2020-11-21,아메리카,칠레,536012,14955,2.7900494765
2761,2020-11-21,아메리카,에콰도르,183246,13073,7.1341257107
2762,2020-11-21,아메리카,페루,941951,35402,3.7583695967
2763,2020-11-21,아메리카,브라질,5945849,167455,2.8163345554
2764,2020-11-21,아메리카,세인트키츠네비스,19,0,0.0
2765,2020-11-21,아메리카,도미니카연방,72,0,0.0
2766,2020-11-21,아메리카,세인트빈센트그레나딘,83,0,0.0
2767,2020-11-21,아메리카,세인트루시아,203,2,0.9852216748
2768,2020-11-21,아메리카,그레나다,36,0,0.0
2769,2020-11-21,아메리카,앤티가바부다,139,4,2.8776978417
2770,2020-11-21,아메리카,바베이도스,253,7,2.7667984189
2771,2020-11-21,아메리카,바하마,7323,163,2.225863717
2772,2020-11-21,아메리카,아이티,9208,232,2.5195482189
2773,2020-11-21,아메리카,트리니다드토바고,6180,113,1.8284789644
2774,2020-11-21,아메리카,자메이카,10088,235,2.3295003965
2775,2020-11-21,아메리카,쿠바,7725,131,1.6957928802
2776,2020-11-21,아메리카,도미니카공화국,136183,2301,1.6896382074
2777,2020-11-21,아메리카,니카라구아,4583,159,3.4693432249
2778,2020-11-21,아메리카,벨리즈,4958,100,2.0169423154
2779,2020-11-21,아메리카,엘살바도르,36965,1061,2.8702826998
2780,2020-11-21,아메리카,코스타리카,127012,1588,1.2502755645
2781,2020-11-21,아메리카,과테말라,117066,4050,3.4595868996
2782,2020-11-21,아메리카,온두라스,103488,2839,2.7433132343
2783,2020-11-21,아메리카,파나마,149833,2907,1.9401600448
2784,2020-11-21,아메리카,멕시코,1015071,99528,9.8050284167
2785,2020-11-21,아메리카,캐나다,311109,11186,3.5955243982
2786,2020-11-21,아메리카,미국,11413788,248571,2.1778133604
2787,2020-11-21,중동,예멘,2072,605,29.198841698
2788,2020-11-21,중동,알제리,71652,2224,3.1038910288
2789,2020-11-21,중동,아랍에미리트,155254,544,0.3503935486
2790,2020-11-21,중동,이스라엘,325776,2737,0.8401478316
2791,2020-11-21,중동,튀니지,83772,2541,3.0332330611
2792,2020-11-21,중동,시리아,6991,363,5.1923902159
2793,2020-11-21,중동,사우디아라비아,354527,5729,1.6159559074
2794,2020-11-21,중동,카타르,136649,235,0.1719734502
2795,2020-11-21,중동,오만,121360,1365,1.1247528015
2796,2020-11-21,중동,모로코,311554,5090,1.6337456749
2797,2020-11-21,중동,리비아,76006,1062,1.3972581112
2798,2020-11-21,중동,레바논,111946,868,0.7753738409
2799,2020-11-21,중동,쿠웨이트,138822,859,0.6187780034
2800,2020-11-21,중동,요르단,169396,2053,1.2119530567
2801,2020-11-21,중동,이라크,529226,11834,2.2360957322
2802,2020-11-21,중동,이집트,111955,6508,5.8130498861
2803,2020-11-21,중동,바레인,85317,337,0.3949974799
2804,2020-11-21,중동,이란,815117,43417,5.3264746042
2805,2020-11-21,아시아,타지키스탄,11772,86,0.7305470608
2806,2020-11-21,아시아,라오스,25,0,0.0
2807,2020-11-21,아시아,미얀마,74882,1676,2.2381880825
2808,2020-11-21,아시아,동티모르,30,0,0.0
2809,2020-11-21,아시아,키르기스스탄,68702,1223,1.7801519606
2810,2020-11-21,아시아,우즈베키스탄,71071,602,0.8470402836
2811,2020-11-21,아시아,카자흐스탄,164736,2365,1.4356303418
2812,2020-11-21,아시아,몽골,518,0,0.0
2813,2020-11-21,아시아,브루나이,148,3,2.027027027
2814,2020-11-21,아시아,방글라데시,441159,6305,1.4291899292
2815,2020-11-21,아시아,몰디브,12452,45,0.3613877288
2816,2020-11-21,아시아,부탄,378,0,0.0
2817,2020-11-21,아시아,인도네시아,483518,15600,3.2263535173
2818,2020-11-21,아시아,파키스탄,365927,7248,1.980722931
2819,2020-11-21,아시아,아프가니스탄,44228,1650,3.7306683548
2820,2020-11-21,아시아,스리랑카,18841,73,0.3874528952
2821,2020-11-21,아시아,네팔,215020,1276,0.593433169
2822,2020-11-21,아시아,캄보디아,304,0,0.0
2823,2020-11-21,아시아,필리핀,413430,7998,1.9345475654
2824,2020-11-21,아시아,인도,9004365,132162,1.4677548055
2825,2020-11-21,아시아,베트남,1304,35,2.6840490797
2826,2020-11-21,아시아,말레이시아,51680,326,0.6308049535
2827,2020-11-21,아시아,태국,3892,60,1.5416238437
2828,2020-11-21,아시아,싱가포르,58139,28,0.048160443
2829,2020-11-21,아시아,일본,125267,1943,1.5510868784
2830,2020-11-21,아시아,마카오,46,0,0.0
2831,2020-11-21,아시아,대만,611,7,1.1456628477
2832,2020-11-21,아시아,홍콩,5517,108,1.9575856443
2833,2020-11-21,아시아,중국,86414,4634,5.362556993
2834,2020-11-21,아시아,한국,30403,503,1.6544419958
2835,2020-11-21,기타,기타지역 영토,194632,2371,1.2181963911
2836,2020-11-21,아프리카,레소토,2058,44,2.1379980563
2837,2020-11-21,아프리카,코모로,592,7,1.1824324324
2838,2020-11-21,아프리카,상투메프린시페,974,16,1.6427104722
2839,2020-11-21,아프리카,남수단,3016,59,1.9562334217
2840,2020-11-21,아프리카,말라위,6002,185,3.082305898
2841,2020-11-21,아프리카,시에라리온,2397,74,3.0871923237
2842,2020-11-21,아프리카,브룬디,649,1,0.1540832049
2843,2020-11-21,아프리카,보츠와나,9594,31,0.3231186158
2844,2020-11-21,아프리카,말리,4093,142,3.4693378939
2845,2020-11-21,아프리카,기니비사우,2421,43,1.7761255679
2846,2020-11-21,아프리카,모잠비크,14723,120,0.8150512803
2847,2020-11-21,아프리카,우간다,17148,158,0.9213902495
2848,2020-11-21,아프리카,에리트레아,527,0,0.0
2849,2020-11-21,아프리카,앙골라,14134,333,2.3560209424
2850,2020-11-21,아프리카,마다가스카르,17310,250,1.4442518775
2851,2020-11-21,아프리카,소말리아,4382,108,2.4646280237
2852,2020-11-21,아프리카,짐바브웨,9046,265,2.9294715896
2853,2020-11-21,아프리카,카보베르데,10082,104,1.0315413608
2854,2020-11-21,아프리카,니제르,1335,70,5.2434456928
2855,2020-11-21,아프리카,차드,1620,101,6.2345679012
2856,2020-11-21,아프리카,모리셔스,491,10,2.0366598778
2857,2020-11-21,아프리카,잠비아,17350,356,2.0518731988
2858,2020-11-21,아프리카,감비아,3706,122,3.2919589854
2859,2020-11-21,아프리카,지부티,5658,61,1.0781194768
2860,2020-11-21,아프리카,탄자니아,509,21,4.1257367387
2861,2020-11-21,아프리카,라이베리아,1539,82,5.3281351526
2862,2020-11-21,아프리카,베냉,2916,43,1.4746227709
2863,2020-11-21,아프리카,세이쉘,161,0,0.0
2864,2020-11-21,아프리카,르완다,5543,46,0.8298755186
2865,2020-11-21,아프리카,모리타니아,7952,165,2.0749496981
2866,2020-11-21,아프리카,에스와티니,6156,119,1.9330734243
2867,2020-11-21,아프리카,적도기니,5121,85,1.659832064
2868,2020-11-21,아프리카,콩고,5632,93,1.651278409
2869,2020-11-21,아프리카,중앙아프리카공화국,4911,63,1.2828344532
2870,2020-11-21,아프리카,나미비아,13662,141,1.0320597277
2871,2020-11-21,아프리카,케냐,74145,1330,1.7937824533
2872,2020-11-21,아프리카,기니,12713,75,0.589947298
2873,2020-11-21,아프리카,가나,50631,323,0.6379490825
2874,2020-11-21,아프리카,가봉,9116,59,0.6472136902
2875,2020-11-21,아프리카,에티오피아,104427,1607,1.5388740459
2876,2020-11-21,아프리카,수단,15299,1179,7.7063860383
2877,2020-11-21,아프리카,코트디부아르,21083,129,0.6118673813
2878,2020-11-21,아프리카,DR콩고,12007,323,2.6900974431
2879,2020-11-21,아프리카,부르키나파소,2686,68,2.5316455696
2880,2020-11-21,아프리카,토고,2771,63,2.2735474557
2881,2020-11-21,아프리카,남아프리카공화국,759658,20671,2.7210929128
2882,2020-11-21,아프리카,카메룬,23528,435,1.8488609316
2883,2020-11-21,아프리카,세네갈,15835,329,2.0776760341
2884,2020-11-21,아프리카,나이지리아,65839,1165,1.7694679445
2885,2020-11-21,오세아니아,바누아투,1,0,0.0
2886,2020-11-21,오세아니아,솔로몬제도,16,0,0.0
2887,2020-11-21,오세아니아,마셜제도,4,0,0.0
2888,2020-11-21,오세아니아,파푸아뉴기니,604,7,1.1589403973
2889,2020-11-21,오세아니아,피지,35,2,5.7142857142
2890,2020-11-21,오세아니아,뉴질랜드,1657,25,1.5087507543
2891,2020-11-21,오세아니아,호주,27784,907,3.2644687589
2892,2020-11-21,유럽,러시아,2039926,35311,1.7309941635
2893,2020-11-21,유럽,코소보,31979,864,2.7017730385
2894,2020-11-21,유럽,몬테네그로,29677,420,1.4152373892
2895,2020-11-21,유럽,터키,430170,11943,2.7763442359
2896,2020-11-21,유럽,사이프러스,7979,41,0.5138488532
2897,2020-11-21,유럽,알바니아,30623,657,2.1454462332
2898,2020-11-21,유럽,몰도바,93961,2091,2.2253913857
2899,2020-11-21,유럽,몰타,8560,104,1.214953271
2900,2020-11-21,유럽,불가리아,114435,2649,2.3148512255
2901,2020-11-21,유럽,슬로바키아,91578,579,0.6322479198
2902,2020-11-21,유럽,세르비아,104097,1110,1.0663131502
2903,2020-11-21,유럽,리히텐슈타인,1072,8,0.7462686567
2904,2020-11-21,유럽,슬로베니아,61034,609,0.9978045024
2905,2020-11-21,유럽,보스니아 헤르체고비나,76757,2153,2.8049558997
2906,2020-11-21,유럽,헝가리,165901,3568,2.1506802249
2907,2020-11-21,유럽,우크라이나,598085,10598,1.7719889313
2908,2020-11-21,유럽,폴란드,796798,12088,1.517072081
2909,2020-11-21,유럽,안도라,6066,76,1.2528849324
2910,2020-11-21,유럽,라트비아,11722,141,1.202866405
2911,2020-11-21,유럽,포르투갈,243009,3701,1.5229888604
2912,2020-11-21,유럽,체코,481755,6874,1.4268663532
2913,2020-11-21,유럽,아일랜드,69473,2010,2.8932103119
2914,2020-11-21,유럽,아르메니아,123646,1900,1.5366449379
2915,2020-11-21,유럽,룩셈부르크,28573,248,0.8679522626
2916,2020-11-21,유럽,모나코,573,3,0.5235602094
2917,2020-11-21,유럽,아이슬란드,5231,25,0.4779200917
2918,2020-11-21,유럽,아제르바이잔,83994,1053,1.2536609757
2919,2020-11-21,유럽,산마리노,1373,43,3.1318281136
2920,2020-11-21,유럽,리투아니아,40492,341,0.8421416576
2921,2020-11-21,유럽,벨라루스,119390,1074,0.8995728285
2922,2020-11-21,유럽,네덜란드,466697,8759,1.876806579
2923,2020-11-21,유럽,루마니아,393851,9596,2.4364543951
2924,2020-11-21,유럽,노르웨이,30768,305,0.9912896515
2925,2020-11-21,유럽,북마케도니아,51213,1423,2.7785913732
2926,2020-11-21,유럽,그리스,85261,1347,1.5798547987
2927,2020-11-21,유럽,조지아,96860,894,0.9229816229
2928,2020-11-21,유럽,에스토니아,8715,86,0.9868043602
2929,2020-11-21,유럽,덴마크,67105,773,1.1519260859
